k,precision0,recall0,f1-score_0,support0,precision1,recall1,f1-score_1,support1,accuracy,total,time_taken
1,0.91,0.92,0.92,8055,0.67,0.63,0.65,1945,0.87,10000,190 s
2,0.91,0.92,0.92,8055,0.67,0.63,0.65,1945,0.87,10000,180 s
5,0.91,0.94,0.92,8055,0.69,0.60,0.64,1945,0.87,10000,187 s
10,0.91,0.94,0.92,8055,0.72,0.59,0.65,1945,0.88,10000,211 s
50,0.89,0.93,0.91,8055,0.65,0.51,0.57,1945,0.85,10000,219 s
100,0.88,0.92,0.90,8055,0.58,0.48,0.53,1945,0.83,10000,191 s
